kns_name,description,kns_name_hebrew,knesset_seat
Naama Lazimi,"A passionate advocate for women's rights, Naama Lazimi has dedicated her career to advancing gender equality in Israel. As a member of the Knesset, Lazimi is focused on promoting policies to close gender gaps in pay, representation, and access to healthcare. Her work emphasizes the importance of women’s involvement in leadership and decision-making processes.",ğòîä ìæéîé,25
Avigdor Lieberman,"A prominent and sometimes controversial figure in Israeli politics, Avigdor Lieberman is known for his tough stance on security and his advocacy for the Russian-speaking immigrant community. As the leader of Yisrael Beiteinu, Lieberman has consistently pushed for more stringent security policies, advocating for military action against Israel’s enemies. His no-nonsense approach to governance has earned him both loyal supporters and vocal detractors.",àáéâãåø ìéáøîï,"16,17,18,19,20,21,22,23,24,25"
Yair Lapid,"A dynamic leader and former journalist, Yair Lapid has emerged as one of Israel's leading political figures. As the leader of Yesh Atid, Lapid advocates for social liberalism, economic equality, and a strong, secure Israel. His platform promotes civil rights, educational reform, and integration of Israel's Arab population into the national discourse. Lapid's charisma and ability to bridge political divides have solidified his role in shaping Israeli politics.",éàéø ìôéã,"19,20,21,22,23,24,25"
Simon Moshiashvili,"A politician dedicated to public service, Simon Moshiashvili focuses on advancing infrastructure, education, and healthcare reform in Israel. With a background in law and public policy, Moshiashvili is known for his pragmatic approach to governance. He strives to create a more equitable society by addressing the needs of Israel’s most vulnerable populations.",ñéîåï îåùéàùåéìé,25
Tatyana Mazerski,"A passionate advocate for minority rights, Tatyana Mazerski works tirelessly to ensure that Russia-speaking immigrants in Israel have access to resources and opportunities. As a member of the Knesset, she focuses on policies that improve the lives of marginalized groups, including legal reforms and social support systems. Mazerski is known for her strong leadership and determination to promote a fairer society.",èèéàğä îæøñ÷é,25
Merav Michaeli,"A leading advocate for gender equality and women's empowerment, Merav Michaeli has gained recognition for her outspoken stance on women's rights, LGBTQ+ issues, and social justice. As the leader of the Labor Party, Michaeli is committed to creating a fairer, more inclusive society through progressive policies that promote equal opportunities for all citizens.",îøá îéëàìé,"20,21,22,23,24,25"
Shelly Tal Miron,"Shelly Tal Miron is a vocal advocate for civil rights, social justice, and educational reform in Israel. As a member of the Knesset, Miron works on advancing policies aimed at improving public education, healthcare access, and social welfare systems. Her work centers around increasing opportunities for Israel's disadvantaged communities.",ùìé èì îéøåï,25
Yonatan Mishraki,"Known for his work on economic policies, Yonatan Mishraki has focused on increasing Israel’s national economic growth and prosperity through tax reforms and market deregulation. As a member of the Knesset, Mishraki pushes for policies that enable Israeli businesses to thrive while ensuring that the country’s welfare systems are robust and accessible.",éåğúï îéùø÷é,25
Chanoch Melibitzki,"A staunch advocate for Israel's religious values, Chanoch Dov Melibitzki has dedicated his career to ensuring the religious community’s needs are met in Israeli society. His focus includes education, religious observance, and community services, with an emphasis on integrating traditional Jewish values into Israel's public policies.",çğåê îìáéö÷é,25
Erez Malul,"A key figure in Israel's political arena, Erez Malul is known for his work in strengthening the country’s economy through infrastructure projects and national development programs. Malul advocates for improving Israel’s transportation systems, environmental sustainability, and regional development. His focus on long-term strategic growth has positioned him as a forward-thinking leader.",àøæ îìåì,25
Yulia Malinovsky,"A rising star in Israeli politics, Yulia Malinovsky is known for her work on health and social welfare policies. She advocates for improvements in the Israeli healthcare system, with a focus on reducing inequalities in medical services and ensuring all citizens have access to high-quality care. Malinovsky's work also extends to mental health and social support systems.",éåìéä îìéğåáñ÷é,25
Micha Malchieli,"Micha Malchieli is an influential figure in Israeli politics, particularly known for his advocacy of the ultra-Orthodox Jewish community. He works on policies that strengthen the community’s religious rights, support family welfare, and promote the interests of Jewish education. Malchieli plays a crucial role in advancing the needs of Haredi Israelis in the Knesset.",îéëàì îìëéàìé,"20,21,22,23,24,25"
Tsega Maleko,"Tsega Tsegnash Maleko has become a strong voice for Ethiopian-Israelis and other minority groups, advocating for their integration into the wider Israeli society. As a member of the Knesset, Maleko works to ensure equal opportunities for these communities, focusing on education, employment, and social justice issues. She is committed to bridging gaps and fostering inclusivity in Israeli politics.",öâä îì÷å,25
Avi Maoz,"A controversial and often divisive figure, Avi Ma’oz is a leader of the far-right in Israel. His political agenda focuses on strengthening Israel’s Jewish identity and promoting policies that preserve traditional values. As the leader of Noam, Ma'oz has gained a following with his vocal stance on issues such as LGBTQ+ rights, women's rights, and the role of religion in Israeli society.",àáé îòåæ,25
Sharon Nir,"A dedicated political leader, Sharon Nir is focused on improving Israel’s education system and advancing policies that support the growth of local businesses. He advocates for strengthening Israel's technological sector and expanding opportunities for Israeli startups. Nir's work in the Knesset reflects his commitment to creating a prosperous future for Israel’s youth and economy.",ùøåï ğéø,25
Benjamin Netanyahu,"As Israel's longest-serving prime minister, Benjamin Netanyahu is one of the most influential figures in Israeli politics. Known for his staunch support of national security and Israel’s position on the world stage, Netanyahu has played a critical role in shaping the country’s defense, economic, and diplomatic policies. His leadership has been marked by both significant achievements and considerable controversy, particularly regarding his approach to relations with Palestine and the international community.",áğéîéï ğúğéäå,"15,16,17,18,19,20,21,22,23,24,25"
Yoav Segalovitz,"A dedicated public servant with a focus on security and police reforms, Yoav Segalovitz has become a prominent figure in Israeli politics. His work emphasizes law enforcement reform, national security, and criminal justice. Segalovitz is known for his deep understanding of law enforcement dynamics and his commitment to improving the safety and well-being of Israeli citizens.",éåàá ñâìåáéõ,25
Yevgeny Sova,"Yevgeny Sova is an influential leader in the Israeli political scene, known for his work in technology, infrastructure, and innovation. His political agenda revolves around advancing Israel’s technological capabilities, boosting its cybersecurity, and fostering economic growth. He advocates for policies that support Israeli entrepreneurs and the development of future industries.",éáâğé ñåáä,25
Tzvi Sukkot,"A prominent figure in Israel’s social justice movements, Tzvi Yedidia Sukkot is known for his advocacy on behalf of Israel’s disadvantaged communities. His focus includes welfare reform, increasing access to healthcare, and enhancing social support systems. Sukkot's work seeks to ensure that all citizens, regardless of background or socioeconomic status, have access to equal opportunities.",öáé ñåëåú,25
Moshe Solomon,"Moshe Solomon has earned recognition for his work in public administration and community development. His political career is defined by a commitment to improving Israel’s education system, advancing healthcare, and promoting regional development. Solomon’s leadership aims to create a more equitable society by addressing gaps in infrastructure and access to resources.",îùä ñåìåîåï,25
Limor Son Har Melech,"Limor Son Har-Melech is a vocal advocate for national security and religious values in Israel. Known for her strong opinions on military preparedness, social issues, and Israel’s Jewish identity, she is a prominent member of the Knesset who works to strengthen Israel's internal security while preserving the country’s traditional values.",ìéîåø ñåï äø îìê,25
Ofer Super,"A rising political figure, Ofer Super is dedicated to improving Israel’s education system and increasing the country’s global competitiveness. His work focuses on modernizing public services, advancing technological innovation, and ensuring that Israel maintains a leading position in global business and education.",àåôéø ñåôø,25
Orit Struk,"A passionate leader, Orit Struk advocates for religious freedom, women's rights, and social equality in Israel. Her work in the Knesset revolves around ensuring equal opportunities for all citizens while emphasizing the importance of preserving Jewish values in Israeli society. Struk’s strong commitment to family issues and education has made her a respected member of the Knesset.",àåøéú ñèøå÷,"20,21,22,23,24,25"
Moshe Saada,"A well-respected member of the Knesset, Moshe Saada is known for his work on economic policies and security issues. He focuses on boosting Israel’s technological advancements, expanding economic opportunities for small businesses, and improving defense strategies. Saada works to secure Israel’s place as a strong and prosperous nation in an ever-changing geopolitical landscape.",îùä ñòãä,25
Gideon Saar,"A seasoned and prominent figure in Israeli politics, Gideon Sa'ar is known for his work in legal reforms, national security, and foreign policy. As a member of the Likud party and later as the leader of the New Hope party, Sa’ar has been at the forefront of efforts to reform Israel’s judicial system and strengthen its defense policies. His influence in Israeli politics has been pivotal during times of national uncertainty.",âãòåï ñòø,"17,18,19,20,21,22,23,24,25"
Mansour Abbas,"Mansour Abbas is a leader of the Ra'am party and a groundbreaking figure in Israeli politics as an Arab leader in the Knesset. Abbas advocates for increased political representation for Arab citizens of Israel and seeks to improve relations between Jewish and Arab communities. His focus includes social justice, civil rights, and national security policies that affect all citizens of Israel.",îğñåø òáàñ,"24,25"
Ayman Odeh,"A prominent figure within the Joint List, Ayman Odeh is a strong advocate for the rights of Israel’s Arab citizens. His work focuses on equality, social justice, and political representation for the Arab minority in Israel. Odeh has been a leader in pushing for better integration of Arab citizens into the political, social, and economic fabric of the state.",àééîï òåãä,"18,19,20,21,22,23,24,25"
Youssef Atauna,"Youssef Atauna is an advocate for Arab-Jewish cooperation and the enhancement of Arab citizens' rights in Israel. His political agenda includes advancing education, healthcare, and economic opportunities for Arab communities in Israel. Atauna focuses on promoting peaceful coexistence and strengthening social justice through progressive reforms.",éåñó òèàåğä,25
Hava Atiya,"A strong voice for women's rights, Hava Atiya has spent her career working on policies to improve women's healthcare, education, and workplace equality in Israel. Her focus is on reducing gender disparities and increasing female representation in leadership roles across all sectors of Israeli society. Atiya is committed to ensuring that women in Israel have access to the same opportunities as men.",çåä àúé òèééä,25
Hamad Amar,"A member of the Knesset known for his work on Arab-Jewish relations and social justice, Hamad Amar focuses on increasing opportunities for the Arab minority in Israel. Amar advocates for better healthcare, education, and employment prospects for Arab citizens. He is a key voice in promoting coexistence and mutual understanding between Israel’s Jewish and Arab communities.",çîã òîàø,"20,21,22,23,24,25"
Tzvika Fogel,"A prominent figure in Israel’s political and security landscape, Tzvika Fogel is known for his staunch conservative views, particularly on security and defense issues. Fogel advocates for a strong military stance and a more aggressive approach to dealing with Israel’s adversaries. His leadership in promoting Israel’s defense policy and security concerns has been a hallmark of his political career.",öáé÷ä ôåâì,25
Oded Forer,"A politician focused on economic growth and innovation, Oded Forer advocates for policies that encourage entrepreneurship and technological development in Israel. His work in the Knesset emphasizes strengthening Israel's global competitiveness and fostering economic collaboration with international markets.",òåãã ôåøø,"20,21,22,23,24,25"
Yitzhak Pindros,"A key figure in the Israeli political scene, Yitzhak Ze'ev Pindros is known for his advocacy on behalf of the Haredi community. His work centers on education, welfare, and religious matters, aiming to maintain the integrity of Jewish tradition while ensuring that the community's needs are addressed in modern Israeli society.",éöç÷ ôéğãøåñ,25
Moshe Fassel,"An advocate for social justice, Moshe Fassel works to improve Israel’s welfare systems and social services. His political career is characterized by a focus on the needs of vulnerable populations, including the elderly, disabled, and low-income communities. Fassel strives to create a more equitable society where all citizens have access to essential services.",îùä ôñì,25
Yasmin Friedman,"A passionate advocate for women’s rights and gender equality, Yasmin Friedman works to promote policies that support women in the workplace, education, and politics. She focuses on issues related to women’s health, economic independence, and representation in leadership positions. Friedman is dedicated to advancing the cause of women’s empowerment in Israel.",éñîéï ôøéãîï,25
Orit Prakash Cohen,"Known for her focus on social welfare and education, Orit Prakash Cohen advocates for policies that promote equal opportunities for all citizens. She works to improve the Israeli education system, with a particular emphasis on inclusive education and support for students with disabilities. Cohen is also committed to reducing economic disparities and improving healthcare access for underserved communities.",àåøéú ôø÷ù äëäï,25
Mati Herchevi,"A leader focused on creating opportunities for disadvantaged groups in Israel, Mati Tserfati-Herchevi has worked on policies related to social justice and welfare reform. His work aims to ensure that Israel’s most vulnerable citizens have access to affordable healthcare, education, and housing. Tserfati-Herchevi advocates for reducing income inequality and improving quality of life for all Israelis.",îèé äøëáé,25
Ariel Kalner,"A leading voice in Israel’s business and economic policies, Ariel Kalner focuses on fostering innovation and technological advancement. His work in the Knesset seeks to create an environment where Israeli startups and businesses can thrive, promoting policies that encourage entrepreneurship and investment in the tech sector. Kalner advocates for building a sustainable and competitive economy.",àøéàì ÷ìğø,25
Yitzhak Kreiser,"Yitzhak Kreiser is a key advocate for security and defense policies, pushing for stronger military and intelligence measures to protect Israel. His work also includes policies aimed at boosting Israel’s technological and economic capabilities, particularly in the defense industry. Kreiser plays an important role in shaping Israel’s national security strategy.",éöç÷ ÷øåéæø,25
Gilad Kriv,"Gilad Kriv is focused on legislative reforms aimed at improving Israel's justice system and promoting fair legal processes. His work includes addressing issues of civil rights, justice, and law enforcement to ensure that Israel’s legal framework remains just and effective. Kriv is also an advocate for social equality and has worked to improve the judicial process in Israel.",âìòã ÷øéá,25
Shlomo Karai,"A leading voice in the Knesset, Shlomo Karai advocates for economic reforms, social justice, and government efficiency. His work is centered on improving Israel’s infrastructure, reducing economic disparities, and ensuring that every citizen has access to essential services. Karai is known for his pragmatic approach to addressing the country’s pressing issues.",ùìîä ÷øòé,25
Eliahu Ravivo,"Eliahu Ravivo focuses on issues related to public security, transportation, and regional development. As a prominent member of the Knesset, Ravivo advocates for improved public infrastructure and services in Israel’s outlying regions. His leadership aims to boost regional development while ensuring that the country’s security needs are met.",àìéäå øáéáå,25
Miri Regev,"is a prominent and fiery figure in Israeli politics, known for her sharp rhetoric, decisive actions, and uncompromising style. As a former Minister of Transportation and Culture and a long-serving Knesset member, she has earned a reputation for boldly confronting her critics and sparking controversy. Born in Kiryat Gat to a traditional Moroccan family, Regev embodies a story of cultural and social ascent, proudly championing her Mizrahi roots. A former IDF spokesperson, she exudes deep Israeli patriotism and firmly advocates for Zionism, national pride, and traditional identity. Her forceful approach and readiness to challenge any anti-Israeli sentiment have cemented her status as a defender of what she deems Israel’s authentic cultural heritage.",îéøé øâá,"18,19,20,21,22,23,24,25"
Moshe Roth,"A prominent figure in Israeli politics, Moshe Roth has focused much of his efforts on economic and social policies aimed at reducing inequality. Roth is known for his work on improving public services, education, and healthcare, particularly for marginalized communities. His leadership seeks to create a more inclusive and equitable society in Israel.",îùä øåè,25
Smicha Rothman,"Smicha Rothman is an advocate for social and legal reforms in Israel. He focuses on strengthening civil liberties and improving Israel’s legal system. Rothman is known for his efforts to reform the judicial system and ensure that the legal framework is fair and just for all citizens, regardless of their background.",ùîçä øåèîï,25
Idan Rol,"Known for his work in environmental sustainability and technological innovation, Idan Rol advocates for policies that promote clean energy and Israel’s advancement in green technologies. Rol’s political career is focused on ensuring that Israel leads the way in sustainable development while securing its future energy needs.",òéãï øåì,25
Efrat Marom,"Efrat Raiten Marom is an advocate for education reform, social justice, and gender equality. Her work includes improving access to quality education and promoting women’s rights in Israel. Raiten Marom works to ensure that Israel’s education system is inclusive and prepares students for a rapidly changing world.",àôøú îøåí,25
Yifat Shasha Biton,"A prominent voice in Israeli politics, Yifat Shasha-Biton is known for her work on education and welfare reform. As a member of the Likud party, she advocates for improving the education system, enhancing social support services, and addressing the needs of underprivileged communities. Her focus is on building a more equitable and inclusive Israel.",éôòú ùàùà áéèåï,"20,21,22,23,24,25"
Alon Shuster,"Alon Shuster has worked extensively on improving infrastructure, transportation, and regional development in Israel. He advocates for policies that promote equal opportunities for all citizens, particularly in Israel’s peripheral areas. Shuster’s work focuses on enhancing economic growth and ensuring that regional areas have access to the same opportunities as urban centers.",àìåï ùåñèø,25
Kati Shtrit,"A strong advocate for civil rights, Kati Shtrit focuses on improving Israel’s legal system and addressing the needs of disadvantaged groups. She works to ensure that Israel’s judicial system is both fair and efficient while advocating for policies that promote equality and access to justice for all citizens.",÷èé ùèøéú,25
Elazar Stern,"Elazar Stern is a respected leader in Israeli politics, known for his military background and work on defense and security policies. Stern focuses on strengthening Israel’s national security while improving the country’s social welfare and education systems. He also advocates for increased integration of Israel’s Arab citizens into the national fabric.",àìòæø ùèøï,"20,21,22,23,24,25"
Michal Shir Sagman,"Michal Shir-Sagman is an advocate for women’s rights, education, and social justice in Israel. She works to ensure that women have equal opportunities in the workplace, education, and politics. Her focus also includes improving Israel’s healthcare system and promoting policies that reduce inequality.",îéëì ùéø ñâîï,25
Naor Shiri,"Naor Shiri is known for his work on labor rights, social justice, and economic reforms. He advocates for fair wages, improved working conditions, and social security reform. Shiri’s work is focused on ensuring that Israel’s economy works for all citizens, particularly those in lower-income groups.",ğàåø ùéøé,25
Osher Shkalim,"A rising political star, Osher Shkalim focuses on improving Israel’s economic policies and addressing the challenges of youth unemployment and social inequality. His work is geared toward ensuring that future generations have access to meaningful career opportunities and that Israel’s economy remains dynamic and competitive.",àåùø ù÷ìéí,25
Aida Sliman,"Aida Toma-Sliman is a prominent Arab-Israeli politician, advocating for the rights of Israel’s Arab citizens. Her work is centered around issues of social justice, education, and equality, particularly for Arab women. Toma-Sliman is known for her dedication to creating a more inclusive society and improving the integration of Arab citizens in Israel’s political and social spheres.",òàéãä ñìéîàï,"20,21,22,23,24,25"
Pnina Tamno,"Pnina Tamno is an influential advocate for the Ethiopian-Israeli community and works to address issues of integration, education, and social services for new immigrants. Her political career is dedicated to ensuring that Israel’s immigrant communities are fully integrated into the country’s social, political, and economic life.",ôğéğä úîğå,25
